Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpRiskPercent,InpSL_ATR_Mult,InpTP_ATR_Mult,InpTrailStartMult,InpTrailStepMult,InpBreakEvenMult,InpFastEMA,InpSlowEMA,InpRSIPeriod,InpRSILow,InpRSIHigh,InpATRPeriodSlow,InpCooldownBars,InpMaxSpreadPoints,InpMaxSlippagePoints,InpStartHour,InpEndHour
4182,325.84,1017.90,72.707143,4.147495,2.056239,7.440782,325.84205136337681,4.7740,14,1.00,1.25,3.75,2.25,1.25,0.9,36,180,12,49,56,65,8,40,6,6,13
1129,323.76,430.19,53.773750,3.700502,2.454582,2.494831,323.76156609072302,1.6928,8,1.50,2.75,2.25,2.00,1.15,1.0,24,300,8,46,60,65,1,26,4,5,16
2257,323.76,430.19,53.773750,3.700502,2.454582,2.494831,323.76156609072302,1.6928,8,1.50,2.75,2.25,2.00,1.55,1.3,28,320,8,46,60,65,1,26,4,5,16
3086,322.78,895.90,47.152632,3.833423,2.079185,17.193085,322.78228530006118,4.2346,19,1.00,1.25,1.75,1.00,0.55,1.5,20,140,12,49,56,65,8,40,6,6,13
1854,320.45,1309.62,109.135000,4.273068,2.964014,5.772963,320.44806116209332,4.2182,12,1.25,1.75,2.75,2.50,1.05,1.9,18,180,15,49,56,70,3,18,6,20,16
3931,319.47,525.01,27.632105,3.570932,1.770393,16.236730,319.47248446400653,2.9296,19,1.00,1.75,4.00,0.75,0.55,0.9,18,220,12,49,56,65,8,40,6,6,13
4014,319.39,280.37,35.046250,3.650501,1.293518,2.453792,319.38690230050543,2.1380,8,1.00,1.25,1.50,0.50,0.25,1.5,26,260,12,50,59,75,8,14,10,23,15
3715,317.48,573.24,81.891429,3.704345,1.932899,1.725431,317.48353345877047,2.8194,7,2.00,3.00,4.00,2.25,1.55,1.1,10,200,9,46,59,60,8,40,6,6,12
2357,315.93,139.02,23.170000,3.791566,1.993976,0.897762,315.93226219546722,0.6934,6,0.50,2.75,2.25,3.00,1.25,1.9,32,260,15,48,54,60,6,26,8,10,13
3216,315.47,946.76,86.069091,3.856074,3.127924,4.955487,315.46542443433088,2.8282,11,1.50,2.00,3.00,1.25,1.45,1.0,22,320,8,46,60,65,1,26,4,23,16
2777,315.30,499.96,20.831667,3.440020,1.683197,19.821696,315.30359246489536,2.9205,24,1.00,1.75,1.50,0.50,0.25,1.5,26,260,12,49,56,65,8,40,6,22,13
2924,314.62,246.68,61.670000,4.195337,1.952818,1.171830,314.61879718763873,1.2491,4,0.75,2.00,3.00,1.00,1.55,1.9,40,260,12,50,59,75,8,14,10,23,13
4284,314.62,246.68,61.670000,4.195337,1.952818,1.171830,314.61879718763873,1.2491,4,0.75,2.00,3.00,1.00,1.55,1.9,36,220,12,50,59,75,8,14,10,23,13
4867,314.57,1617.82,107.854667,4.719041,3.464357,10.751181,314.57127231193874,4.4802,15,2.75,3.00,3.75,0.75,1.25,1.8,34,180,12,49,56,65,8,40,6,6,13
3296,314.30,1203.63,200.605000,4.715022,2.620404,2.103889,314.30337423473412,4.3867,6,2.50,1.75,3.25,0.75,1.25,1.8,32,240,13,50,58,75,3,38,10,2,13
3821,313.85,61.65,8.807143,3.661917,1.183301,1.429905,313.84722371582234,0.5194,7,0.25,2.00,1.50,1.75,0.65,1.2,20,160,12,50,59,60,3,26,2,22,13
4275,313.85,61.65,8.807143,3.661917,1.183301,1.429905,313.84722371582234,0.5194,7,0.25,2.00,1.50,1.75,0.65,1.2,20,160,12,50,59,55,3,26,2,22,13
3238,313.66,403.96,67.326667,4.705375,2.837196,1.332138,313.66031133693326,1.3745,6,1.00,2.25,3.50,1.25,1.35,1.7,36,220,12,50,59,60,8,40,6,6,16
3735,312.85,300.76,60.152000,3.910956,1.461845,0.830602,312.84521567200619,2.0552,5,1.00,1.25,1.75,0.75,0.85,0.8,14,200,12,49,59,75,8,14,10,23,13
3469,311.12,840.03,44.212105,3.694909,2.880663,10.756418,311.11909687074143,2.8695,19,1.00,2.25,3.50,1.50,0.65,1.5,30,280,11,49,56,65,8,40,6,6,13
4137,310.46,847.82,42.391000,3.652836,1.870618,16.231720,310.46005196407674,4.4479,20,1.00,1.25,1.75,1.00,0.85,0.8,14,200,12,49,56,65,8,40,6,6,15
2572,310.39,531.20,33.200000,3.547722,2.575515,6.741233,310.39462001042102,2.0343,16,1.00,2.25,3.50,2.25,0.95,1.2,14,320,12,49,56,65,8,40,6,6,13
4357,310.39,531.20,33.200000,3.547722,2.575515,6.741233,310.39462001042102,2.0343,16,1.00,2.25,3.50,2.25,0.95,1.2,14,320,12,49,56,70,8,14,9,6,13
4540,310.09,278.83,39.832857,3.618122,1.139570,0.799966,310.09373911703398,2.3873,7,1.00,1.25,1.75,0.75,0.65,0.8,28,280,12,49,56,65,8,40,6,6,10
4321,308.16,1261.92,126.192000,3.852441,3.010593,3.197877,308.16448192432114,3.8336,10,2.00,2.25,4.00,3.00,0.25,1.7,22,220,9,46,59,40,2,28,8,6,13
5346,307.91,819.80,51.237500,3.519361,2.547545,5.952408,307.9132775106018,2.9791,16,1.50,2.00,3.00,1.25,0.55,0.9,10,160,9,46,59,55,6,20,2,18,13
3799,307.16,394.90,56.414286,3.583917,1.475655,1.269974,307.16214980795786,2.6062,7,1.50,2.75,4.25,1.75,0.95,1.4,22,280,12,50,59,75,8,14,2,5,15
1754,306.78,372.18,124.060000,4.602207,1.808982,0.718610,306.78310411312719,2.0552,3,1.00,1.25,3.75,2.25,1.25,1.4,40,260,12,50,59,75,8,14,10,23,11
3951,306.70,199.06,28.437143,3.578497,1.317929,1.574526,306.69767960287612,1.4813,7,0.75,2.00,3.00,1.75,1.25,0.9,36,180,12,50,59,75,8,14,10,23,15
3418,305.75,248.20,20.683333,3.335780,1.252903,3.775629,305.7492732438281,1.9288,12,1.00,1.75,1.50,0.50,0.25,1.5,24,140,9,42,55,80,3,14,9,18,10
1339,305.18,601.02,60.102000,3.815082,2.539056,3.165465,305.17603977307186,2.2766,10,1.00,1.75,4.25,1.75,1.05,2.0,20,240,15,49,56,45,8,32,9,3,16
4025,304.48,61.47,10.245000,3.654145,1.561738,1.636507,304.48164164585279,0.3929,6,0.25,2.00,1.50,1.75,0.65,1.2,20,320,12,50,59,65,3,26,2,23,13
4912,303.65,1090.13,83.856154,4.934777,3.223520,7.316412,303.64822693386265,3.0665,13,1.00,1.25,3.50,0.50,1.25,1.8,14,280,9,46,59,55,6,30,2,18,13
